"id","level"
1001,3
1003,3
1005,5
1007,1
1009,1
1011,4
1013,4
1015,2
1017,4
1019,1
1021,2
1023,1
1025,1
1027,4
1029,2
1031,5
1033,1
1035,3
1037,4
1039,4
1041,4
1043,1
1045,5
1047,2
1049,1
1051,4
1053,3
1055,1
1057,1
1059,1
1061,4
1063,0
1065,1
1067,5
1069,5
1071,2
1073,1
1075,0
1077,1
1079,1
1081,4
1083,1
1085,3
1087,4
1089,2
1091,1
1093,1
1095,1
1097,2
1099,2
1101,4
1103,1
1105,2
1107,0
1109,5
1111,4
1113,4
1115,1
1117,1
1119,1
1121,2
1123,4
1125,1
1127,1
1129,1
1131,1
1133,1
2013,0
2016,0
2020,0
2050,0
2060,0
2068,0
2070,0
2090,0
2100,0
2110,0
2122,0
2130,0
2150,0
2164,0
2170,0
2180,0
2185,0
2188,0
2201,0
2220,0
2232,0
2240,0
2261,0
2270,0
2280,0
2282,0
2290,0
4001,4
4003,3
4005,3
4007,4
4009,3
4011,3
4012,4
4013,4
4015,3
4017,4
4019,4
4021,4
4023,3
4025,4
4027,4
5001,2
5003,2
5005,2
5007,2
5009,2
5011,2
5013,2
5015,2
5017,1
5019,2
5021,3
5023,2
5025,2
5027,2
5029,2
5031,2
5033,2
5035,2
5037,2
5039,2
5041,2
5043,2
5045,2
5047,2
5049,2
5051,2
5053,2
5055,2
5057,2
5059,2
5061,2
5063,2
5065,2
5067,2
5069,2
5071,2
5073,2
5075,2
5077,2
5079,2
5081,2
5083,2
5085,2
5087,2
5089,2
5091,2
5093,2
5095,2
5097,2
5099,2
5101,2
5103,2
5105,2
5107,2
5109,2
5111,2
5113,2
5115,2
5117,2
5119,2
5121,2
5123,2
5125,2
5127,2
5129,2
5131,2
5133,2
5135,2
5137,2
5139,2
5141,2
5143,2
5145,2
5147,2
5149,2
6001,2
6003,2
6005,1
6007,2
6009,2
6011,2
6013,2
6015,0
6017,1
6019,3
6021,2
6023,0
6025,2
6027,3
6029,3
6031,2
6033,2
6035,3
6037,2
6039,3
6041,1
6043,2
6045,1
6047,2
6049,3
6051,3
6053,2
6055,1
6057,2
6059,1
6061,2
6063,3
6065,3
6067,2
6069,2
6071,3
6073,1
6075,2
6077,2
6079,2
6081,2
6083,1
6085,2
6087,2
6089,3
6091,3
6093,3
6095,2
6097,1
6099,2
6101,2
6103,2
6105,1
6107,3
6109,3
6111,1
6113,2
6115,2
8001,1
8003,3
8005,1
8007,2
8009,3
8011,3
8013,2
8014,1
8015,3
8017,2
8019,3
8021,3
8023,2
8025,3
8027,2
8029,4
8031,1
8033,2
8035,1
8037,4
8039,2
8041,3
8043,2
8045,4
8047,2
8049,4
8051,4
8053,2
8055,2
8057,4
8059,1
8061,3
8063,1
8065,3
8067,2
8069,3
8071,3
8073,3
8075,2
8077,4
8079,2
8081,4
